Timestamp,Which A/L stream did you choose?,Did everything go well with your A/L exams?,What is your favorite subject? ,Kindly input your O/L exam results [Mathematics],Kindly input your O/L exam results [Science],Kindly input your O/L exam results [Religion],Kindly input your O/L exam results [English],Kindly input your O/L exam results [Sinhala or Tamil],Kindly input your O/L exam results [History],Kindly input your O/L exam results [Basket I],Kindly input your O/L exam results [Basket II],Kindly input your O/L exam results [Basket III],What career are you interested in pursuing? ,Which higher education field are you currently following or have you completed? ,Column 15,"If so, what kind of job do you do? ","On a scale of 1 to 5, how satisfied are you with your current job?  ","If you had the opportunity, would you prefer to do a different job? If yes, what job would you like to do?  ","What advice would you give to students selecting their A/L stream? Additionally, do you have any feedback or suggestions for improving this project? "
5/3/2025 11:36,Physical Science,"Mostly, but I faced some challenges",maths,A,A,A,A,B,A,A,C,A,software engineering,software engineering,,,,,
5/3/2025 11:40,Physical Science,"Yes, everything went well",maths,A,A,A,A,A,A,A,B,A,software engineer,computer science,I'm currently employed,IT / Software Development,4,,
5/3/2025 12:03,Physical Science,"Mostly, but I faced some challenges",Mathematics ,A,B,A,A,A,A,A,A,B,Engineering ,Software engineering ,,IT / Software Development,3,,
5/3/2025 12:15,Physical Science,"Mostly, but I faced some challenges",ICT,B,C,C,A,B,A,A,A,C,Software Engineer,Software Engineering ,I'm currently employed,IT / Software Development,2,No,Does the favorite subject made an impact when selecting the career path
5/3/2025 12:16,Physical Science,"Mostly, but I faced some challenges",science,A,A,A,A,A,A,B,S,A,IT industry,Computer science,,,,,
5/3/2025 12:17,Arts,"Mostly, but I faced some challenges",ICT,B,B,C,A,C,A,A,A,B,Software Engineer related,Software engineering ,,,,Artist,
5/3/2025 12:18,Physical Science,"Yes, everything went well",Combined maths,A,A,A,A,A,A,A,A,A,Engineering ,Electronics and Telecommunication engineering ,I'm currently employed,Private Sector,3,,
5/3/2025 12:19,Physical Science,"Mostly, but I faced some challenges",ICT,A,B,B,A,B,A,B,A,A,Networking ,,,IT / Software Development,4,Developer ,
5/3/2025 12:22,Physical Science,"Mostly, but I faced some challenges",Combined Maths,A,A,A,A,A,A,A,A,A,Data Scientist ,Computer Science ,,Private Sector,,,
5/3/2025 12:23,Physical Science,"Mostly, but I faced some challenges",Maths,A,A,A,B,A,A,A,A,B,Software engineer,Software engineering,I'm currently employed,Private Sector,4,,
5/3/2025 12:26,Bio Science,"No, I had difficulties",History,A,B,A,A,A,A,A,A,A,Designing ,Bachelors,I'm currently employed,Designing ,4,Marketer,No
5/3/2025 12:28,Physical Science,"Yes, everything went well",Maths,A,B,A,A,A,A,A,B,A,Fashion design ,Fashion design ,I'm currently employed,Private Sector,4,Senior fashion designer ,
5/3/2025 12:33,Bio Science,"Mostly, but I faced some challenges",English,A,A,A,A,A,A,A,B,A,Software Engineering ,Software Engineering ,I'm currently employed,IT / Software Development,5,,
5/3/2025 12:34,Physical Science,"Mostly, but I faced some challenges",Maths,A,A,A,A,A,C,B,B,B,Lecturing,MSC in Information Technology ,I'm currently employed,Private Sector,4,Software Engineering,
5/3/2025 12:34,Physical Science,"Yes, everything went well",Maths,A,A,A,A,A,A,A,C,A,Engineering,Software Engineer ,I'm currently employed,Private Sector,2,,
5/3/2025 12:36,Physical Science,"Mostly, but I faced some challenges",maths,A,A,A,C,B,B,A,B,C,IT,Software Engineering ,I'm currently employed,IT / Software Development,4,No,
5/3/2025 12:37,Physical Science,"Yes, everything went well",Combined Maths,A,A,A,A,A,A,A,C,A,Engineering ,,,,,,
5/3/2025 12:40,Bio Science,"No, I had difficulties",english,A,A,A,A,A,A,A,B,A,Business Analysis,Business Data Analytics ,,,,,
5/3/2025 12:40,Physical Science,"Yes, everything went well",Combined Mathematics ,A,A,A,A,A,A,A,B,A,Engineering ,Electronic and Telecommunications Engineering ,,,,,
5/3/2025 12:41,Technology,"Mostly, but I faced some challenges",Sinhala,A,C,A,B,A,C,B,C,A,Announcer,Nothing,I'm currently employed,Private Sector,4,Presenting ,Good
5/3/2025 12:45,Bio Science,"Mostly, but I faced some challenges",maths,A,A,A,A,A,A,A,S,A,Food scientist ,Food science and technology ,,,,,
5/3/2025 12:47,Physical Science,"Mostly, but I faced some challenges",Combined Maths,A,A,A,A,A,A,A,A,A,Web development,Information Technology,,,,,
5/3/2025 12:48,Physical Science,"Yes, everything went well",Combined Mathematics,A,A,A,A,A,A,A,A,A,Lecturing ,Fashion Designing,I'm currently employed,Teaching / Education,5,Lecturer ,
5/3/2025 12:52,Physical Science,"Mostly, but I faced some challenges",Combined Maths,A,A,A,A,A,A,A,A,A,Software Engineer,Software Engineering,,IT / Software Development,,"Data Engineer, Lecturer",
5/3/2025 12:53,Bio Science,"Mostly, but I faced some challenges",science,A,A,A,A,A,C,B,A,C,Healthcare,Medical administration,I'm currently employed,Private Sector,4,Quality Assurance - Healthcare,
5/3/2025 12:55,Physical Science,"Yes, everything went well",Mathematics ,A,A,A,A,A,A,A,B,A,Business Analyst ,"Industrial Management, mathematics and statistics ",I'm currently employed,Private Sector,4,Business Analysts ,
5/3/2025 13:01,Physical Science,"Yes, everything went well",Combined maths,A,A,A,C,A,A,A,A,A,Engineering ,Computer engineering ,,,,Yes,
5/3/2025 13:01,Physical Science,"Yes, everything went well",Maths ,A,A,A,A,A,A,A,A,A,IT,IT,I'm currently employed,Private Sector,3,,
5/3/2025 13:01,Commerce,"Mostly, but I faced some challenges",Economics,A,C,C,C,B,C,B,B,B,To be banker,I’m done with business management and leadership degree ,,Private Sector,3,No,No need more improvements
5/3/2025 13:03,Physical Science,"Yes, everything went well",Maths,A,A,A,A,A,A,A,A,A,IT ,It,,Private Sector,,,
5/3/2025 13:04,Physical Science,"Mostly, but I faced some challenges",Maths,A,A,A,A,A,A,A,B,A,software engineering.,software engineering.,I'm currently employed,Private Sector,4,,
5/3/2025 13:06,Physical Science,"No, I had difficulties",maths,A,B,A,A,A,A,A,A,C,Artificial intelligence ,Information technology ,,,,,
5/3/2025 13:10,Physical Science,"Mostly, but I faced some challenges",Maths,A,A,A,A,A,A,B,B,A,Buisness ,Undergraduate Electroic and telecommunication engineer ,,,,,
5/3/2025 13:11,Bio Science,"Mostly, but I faced some challenges",science,A,A,A,A,A,A,A,A,A,In food science field,Food science and technology ,,,,,
5/3/2025 13:15,Physical Science,"Mostly, but I faced some challenges",maths ,A,A,A,A,B,C,A,A,C,Maritime,Maritime science ,I'm currently employed,Merchant navy ships' officer,5,No,None 🙏🏼
5/3/2025 13:16,Physical Science,"No, I had difficulties",science ,A,C,A,A,B,C,A,A,A,Being a Sportsman (Cricketer),BSc in IT and MBA ,I'm currently employed,Private Sector,5,No,
5/3/2025 13:16,Physical Science,"Mostly, but I faced some challenges",Mathematics ,A,A,A,A,A,A,A,A,A,Software Engineer ,Computer Science ,,,,,
5/3/2025 13:17,Physical Science,"Mostly, but I faced some challenges",science ,A,A,A,A,A,A,A,A,A,Medicine ,Dental surgeon,,,,,
5/3/2025 13:17,Bio Science,"Mostly, but I faced some challenges",science,A,A,A,C,B,A,A,A,A,Manager ,Agricultural technology and management ,,,,,
5/3/2025 13:18,Physical Science,"No, I had difficulties",Maths,A,A,B,B,B,B,A,A,A,software engineer ,Computer science ,I'm currently employed,IT / Software Development,3,No,No
5/3/2025 13:18,Bio Science,"No, I had difficulties",science,C,B,A,A,A,B,A,C,C,Business manager ,International Business Management ,,,,,
5/3/2025 13:19,Bio Science,"Mostly, but I faced some challenges",maths,A,A,A,B,A,A,A,A,B,Marketing,Food technologists ,,,,Musician,No thank you
5/3/2025 13:19,Physical Science,"Yes, everything went well",maths,A,A,A,A,A,A,A,B,A,Engineering ,Bsc Engineering ,,,,,
5/3/2025 13:19,Technology,"Yes, everything went well",Science for technology ,B,C,B,C,B,C,C,B,C,Event planning ,Business management ,I'm currently employed,Self-Employed,4,,
5/3/2025 13:19,Bio Science,"No, I had difficulties",Mathematics,A,B,A,B,A,A,B,A,C,Software Developer,Software Engineering,,,,,
5/3/2025 13:20,Technology,"No, I had difficulties",Combined Mathematics,A,A,B,B,B,A,B,B,B,Cyber Security Analyst,Cyber Security,,,,No,
5/3/2025 13:20,Physical Science,"Mostly, but I faced some challenges",maths ,A,A,A,A,A,A,A,A,A,Robotics ,Electrical and electronic engineering (reading),,,,,
5/3/2025 13:25,Physical Science,"Mostly, but I faced some challenges",science,A,A,A,A,A,A,B,A,A,Software Engineering,Software Engineering,I'm currently employed,IT / Software Development,4,Yes Web designing,Good
5/3/2025 13:29,Bio Science,"Yes, everything went well",Science ,A,A,A,B,A,A,A,A,A,Entrepreneur ,Agriculture ,,Self-Employed,,,
5/3/2025 13:29,Arts,"Yes, everything went well",French,C,C,A,A,A,C,A,C,A,Teaching,BA,I'm currently employed,Private Sector,5,,
5/3/2025 13:31,Bio Science,"No, I had difficulties",science ,A,A,A,A,A,A,A,A,A,Food product development manager ,Bsc (Hon's)Food Science and Technology ,,,,Food product developer ,
5/3/2025 13:32,Bio Science,"Mostly, but I faced some challenges",science ,A,A,A,C,B,A,A,A,A,Entrepreneur,Ict programme in open university ,,Self-Employed,,Bank,Opportunity in Sri Lanka for employment 
5/3/2025 13:32,Physical Science,"Mostly, but I faced some challenges",ICT,A,C,A,C,B,C,B,A,A,IT technology side,Network engineering ,I'm currently employed,Government Sector,2,No,Well done
5/3/2025 13:33,Physical Science,"Mostly, but I faced some challenges",Combined Mathematics ,A,A,A,A,A,A,A,A,B,Engineering,Software Engineering ,I'm currently employed,IT / Software Development,4,,
5/3/2025 13:35,Physical Science,"Mostly, but I faced some challenges",science ,A,B,B,A,C,C,B,C,B,Fashion designer ,Fashion designing ,,,1,No,Nothing
5/3/2025 13:40,Physical Science,"Yes, everything went well",maths ,A,A,A,A,A,A,A,A,A,Laboratary side,Undergraduate,,Private Sector,,Laboratary side,Good survey
5/3/2025 13:41,Bio Science,"Mostly, but I faced some challenges",Biology,A,A,A,A,A,A,A,B,A,Food technologists ,Food Science and Technology ,,,,,The survey was good
5/3/2025 13:42,Bio Science,"Mostly, but I faced some challenges",Science ,A,A,A,A,A,A,A,A,A,A lecturer or an entrepreneur ,"Undergraduate in Agricultural Technology and Management , peradeniya ",,,,,No
5/3/2025 13:45,Physical Science,"Mostly, but I faced some challenges",science,A,A,A,A,A,A,A,A,A,Engineering ,Engineering undergraduate ,,,,,
5/3/2025 13:47,Physical Science,"Mostly, but I faced some challenges",maths,A,A,A,A,A,A,A,A,A,Game development + Software development,,,,,,
5/3/2025 13:47,Bio Science,"Mostly, but I faced some challenges",Biology,C,B,A,C,B,B,A,A,A,Tourism,no any,I'm currently employed,Private Sector,4,yes. Airline,
5/3/2025 13:48,Physical Science,"Mostly, but I faced some challenges",Maths ,A,C,A,B,B,A,B,B,A,"It,music ",It,,Teaching / Education,4,,
5/3/2025 13:50,Commerce,"Mostly, but I faced some challenges",IT,A,C,A,A,A,B,B,B,A,Related to IT,Designing,,,3,"I love what I do, so I wouldn’t really want a different job. But if I ever explored something new, it would still be in the creative or business space, maybe growing my ventures into something bigger or launching a unique product line.","Overall, the survey is well-structured
"
5/3/2025 13:51,Physical Science,"Mostly, but I faced some challenges",Mathematics,A,A,A,A,A,A,A,A,B,Business Information systems ,Electronic Engineering ,I'm currently employed,Private Sector,3,"Yes , Software Quality Assurance Engineer ",
5/3/2025 13:54,Physical Science,"Mostly, but I faced some challenges",ICT,A,A,A,A,A,A,A,A,A,Information technology ,Computer science ,,,,,
5/3/2025 13:57,Commerce,"Yes, everything went well",ICT,A,B,A,A,A,A,A,A,B,Software Engineering,Software Engineering ,I'm currently employed,Private Sector,5,No,
5/3/2025 13:57,Technology,"Mostly, but I faced some challenges",ICT,A,C,C,A,C,B,C,A,C,IT field,Software engineering,I'm currently employed,Private Sector,4,"As a part time job, this satisfies my needs for now but as soon as I complete my higher education I would be willing to cooperate with a leading company",
5/3/2025 13:58,Technology,"Mostly, but I faced some challenges",technology,B,S,A,S,C,C,C,B,C,It,It,,IT / Software Development,,,
5/3/2025 13:59,Physical Science,"No, I had difficulties",Maths ,A,B,A,A,B,A,A,B,C,IT,Software engineering ,I'm currently employed,IT / Software Development,3,,
5/3/2025 13:59,Physical Science,"Yes, everything went well",maths ,A,A,A,A,A,B,A,B,B,Computer Engineering ,Ai,I'm currently employed,IT / Software Development,3,"Yes, development ",I haven't any idea about this project 
5/3/2025 13:59,Physical Science,"Mostly, but I faced some challenges",maths ,A,A,A,A,A,B,A,S,A,industrial,Physical science ,,,,,
5/3/2025 13:59,Physical Science,"Mostly, but I faced some challenges",science ,A,A,A,A,A,A,A,A,A,Engineering ,Engineering ,,,,,
5/3/2025 14:02,Physical Science,"Yes, everything went well",Combined Maths,A,A,A,A,A,A,A,C,A,SE,CS/SE,,IT / Software Development,,,
5/3/2025 14:02,Physical Science,"Yes, everything went well",Maths,A,A,A,A,A,A,A,A,A,Robotics ,Electronic and Telecommunication Engineering ,,,,,
5/3/2025 14:02,Physical Science,"Yes, everything went well",science,A,A,A,A,A,A,B,A,A,Engineer,Chemical Engineering,I'm currently employed,Private Sector,4,Yes ,Good
5/3/2025 14:03,Physical Science,"Mostly, but I faced some challenges",maths ,A,A,A,B,A,A,B,C,A,Computer Engineering side jobs,Quantity surveying ,I'm currently employed,Government Sector,3,Software engineering ,
5/3/2025 14:04,Technology,"Mostly, but I faced some challenges",It,C,C,B,A,B,C,C,A,A,Computer science ,Computer science ,,,,,No very good 
5/3/2025 14:06,Commerce,"Yes, everything went well",Econ,B,C,A,S,A,C,B,B,C,Acconting,Applied Accounting,I'm currently employed,Private Sector,4,,
5/3/2025 14:08,Bio Science,"Mostly, but I faced some challenges",science ,A,A,A,A,A,A,A,A,A,Medical industry ,Bachelor of Ayurveda Medicine and Surgery ,I'm currently employed,Government Sector,3,Cafe owner,This gives an idea to think about the other path ways that also we can follow. So this a good project
5/3/2025 14:08,Arts,"Yes, everything went well",Japanese ,C,C,B,A,A,B,A,A,A,Hospitality industry ,Hospitality industry ,I'm currently employed,Private Sector,3,,
5/3/2025 14:09,Physical Science,"Mostly, but I faced some challenges",Mathematics ,A,A,A,A,A,A,A,A,A,Business ,,,,,,
5/3/2025 14:11,Physical Science,"No, I had difficulties",Mathematics ,A,B,A,B,A,A,B,A,A,Forex Trading ,Software Engineering ,,,,,
