Stream,Did everything go well with your A/L exams?,Maths,Science,Religion,English,Sinhala or Tamil,History,Basket I,Basket II,Basket III,Favorite Subject,Career
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,B,A,A,C,A,maths,IT/ Software Developer
Physical Science,"Yes, everything went well",A,A,A,A,A,A,A,B,A,maths,IT/ Software Developer
Physical Science,"Mostly, but I faced some challenges",A,B,A,A,A,A,A,A,B,maths,Engineer
Physical Science,"Mostly, but I faced some challenges",B,C,C,A,B,A,A,A,C,ict,IT/ Software Developer
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,B,S,A,science,IT/ Software Developer
Arts,"Mostly, but I faced some challenges",B,B,C,A,C,A,A,A,B,ict,IT/ Software Developer
Physical Science,"Yes, everything went well",A,A,A,A,A,A,A,A,A,maths,Engineer
Physical Science,"Mostly, but I faced some challenges",A,B,B,A,B,A,B,A,A,ict,IT/ Software Developer
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,maths,IT/ Software Developer
Physical Science,"Mostly, but I faced some challenges",A,A,A,B,A,A,A,A,B,maths,IT/ Software Developer
Bio Science,"No, I had difficulties",A,B,A,A,A,A,A,A,A,history,Designer
Physical Science,"Yes, everything went well",A,B,A,A,A,A,A,B,A,maths,Designer
Bio Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,B,A,english,IT/ Software Developer
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,C,B,B,B,maths,Lecturer/ Professor
Physical Science,"Yes, everything went well",A,A,A,A,A,A,A,C,A,maths,Engineer
Physical Science,"Mostly, but I faced some challenges",A,A,A,C,B,B,A,B,C,maths,IT/ Software Developer
Physical Science,"Yes, everything went well",A,A,A,A,A,A,A,C,A,maths,Engineer
Bio Science,"No, I had difficulties",A,A,A,A,A,A,A,B,A,english,Businessman
Physical Science,"Yes, everything went well",A,A,A,A,A,A,A,B,A,maths,Engineer
Technology,"Mostly, but I faced some challenges",A,C,A,B,A,C,B,C,A,sinhala,Other
Bio Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,S,A,maths,Food Scientist
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,maths,IT/ Software Developer
Physical Science,"Yes, everything went well",A,A,A,A,A,A,A,A,A,maths,Lecturer/ Professor
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,maths,IT/ Software Developer
Bio Science,"Mostly, but I faced some challenges",A,A,A,A,A,C,B,A,C,science,Medical Industry
Physical Science,"Yes, everything went well",A,A,A,A,A,A,A,B,A,maths,Businessman
Physical Science,"Yes, everything went well",A,A,A,C,A,A,A,A,A,maths,Engineer
Physical Science,"Yes, everything went well",A,A,A,A,A,A,A,A,A,maths,IT/ Software Developer
Commerce,"Mostly, but I faced some challenges",A,C,C,C,B,C,B,B,B,commerce,Banker
Physical Science,"Yes, everything went well",A,A,A,A,A,A,A,A,A,maths,IT/ Software Developer
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,B,A,maths,IT/ Software Developer
Physical Science,"No, I had difficulties",A,B,A,A,A,A,A,A,C,maths,IT/ Software Developer
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,B,B,A,maths,Businessman
Bio Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,science,Food Scientist
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,B,C,A,A,C,maths,IT/ Software Developer
Physical Science,"No, I had difficulties",A,C,A,A,B,C,A,A,A,science,Sportsman
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,maths,IT/ Software Developer
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,science,Medical Industry
Bio Science,"Mostly, but I faced some challenges",A,A,A,C,B,A,A,A,A,science,Manager
Physical Science,"No, I had difficulties",A,A,B,B,B,B,A,A,A,maths,IT/ Software Developer
Bio Science,"No, I had difficulties",C,B,A,A,A,B,A,C,C,science,Businessman
Bio Science,"Mostly, but I faced some challenges",A,A,A,B,A,A,A,A,B,maths,Other
Physical Science,"Yes, everything went well",A,A,A,A,A,A,A,B,A,maths,Engineer
Technology,"Yes, everything went well",B,C,B,C,B,C,C,B,C,science,Other
Bio Science,"No, I had difficulties",A,B,A,B,A,A,B,A,C,maths,IT/ Software Developer
Technology,"No, I had difficulties",A,A,B,B,B,A,B,B,B,maths,IT/ Software Developer
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,maths,Engineer
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,B,A,A,science,IT/ Software Developer
Bio Science,"Yes, everything went well",A,A,A,B,A,A,A,A,A,science,Businessman
Arts,"Yes, everything went well",C,C,A,A,A,C,A,C,A,french,Teacher
Bio Science,"No, I had difficulties",A,A,A,A,A,A,A,A,A,science,Manager
Bio Science,"Mostly, but I faced some challenges",A,A,A,C,B,A,A,A,A,science,Businessman
Physical Science,"Mostly, but I faced some challenges",A,C,A,C,B,C,B,A,A,ict,IT/ Software Developer
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,B,maths,Engineer
Physical Science,"Mostly, but I faced some challenges",A,B,B,A,C,C,B,C,B,science,Designer
Physical Science,"Yes, everything went well",A,A,A,A,A,A,A,A,A,maths,Laboratary Side
Bio Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,B,A,science,Food Scientist
Bio Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,science,Lecturer/ Professor
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,science,Engineer
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,maths,IT/ Software Developer
Bio Science,"Mostly, but I faced some challenges",C,B,A,C,B,B,A,A,A,science,Tourism
Physical Science,"Mostly, but I faced some challenges",A,C,A,B,B,A,B,B,A,maths,IT/ Software Developer
Commerce,"Mostly, but I faced some challenges",A,C,A,A,A,B,B,B,A,ict,IT/ Software Developer
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,B,maths,Businessman
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,ict,IT/ Software Developer
Commerce,"Yes, everything went well",A,B,A,A,A,A,A,A,B,ict,IT/ Software Developer
Technology,"Mostly, but I faced some challenges",A,C,C,A,C,B,C,A,C,ict,IT/ Software Developer
Technology,"Mostly, but I faced some challenges",B,S,A,S,C,C,C,B,C,technology,IT/ Software Developer
Physical Science,"No, I had difficulties",A,B,A,A,B,A,A,B,C,maths,IT/ Software Developer
Physical Science,"Yes, everything went well",A,A,A,A,A,B,A,B,B,maths,IT/ Software Developer
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,B,A,S,A,maths,Other
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,science,Engineer
Physical Science,"Yes, everything went well",A,A,A,A,A,A,A,C,A,maths,IT/ Software Developer
Physical Science,"Yes, everything went well",A,A,A,A,A,A,A,A,A,maths,Engineer
Physical Science,"Yes, everything went well",A,A,A,A,A,A,B,A,A,science,Engineer
Physical Science,"Mostly, but I faced some challenges",A,A,A,B,A,A,B,C,A,maths,IT/ Software Developer
Technology,"Mostly, but I faced some challenges",C,C,B,A,B,C,C,A,A,ict,IT/ Software Developer
Commerce,"Yes, everything went well",B,C,A,S,A,C,B,B,C,commerce,Accountant
Bio Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,science,Medical Industry
Arts,"Yes, everything went well",C,C,B,A,A,B,A,A,A,japanese,IT/ Software Developer
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,maths,Businessman
Physical Science,"No, I had difficulties",A,B,A,B,A,A,B,A,A,maths,Other
Commerce,"Yes, everything went well",B,A,A,B,A,A,B,C,A,commerce,Banker
Bio Science,"Mostly, but I faced some challenges",A,B,A,B,A,C,B,A,B,maths,IT/ Software Developer
Physical Science,"Mostly, but I faced some challenges",A,C,B,B,A,C,A,C,A,maths,IT/ Software Developer
Physical Science,"Mostly, but I faced some challenges",A,B,A,A,A,A,A,B,A,maths,Businessman
Physical Science,"Mostly, but I faced some challenges",A,A,A,B,A,A,A,A,A,maths,Engineer
Physical Science,"Mostly, but I faced some challenges",A,A,A,C,A,A,A,C,A,science,Engineer
Technology,"Mostly, but I faced some challenges",C,C,A,A,A,B,C,C,C,ict,Teacher
Arts,"Yes, everything went well",C,C,C,B,B,C,C,A,B,dancing,Teacher
Arts,"Yes, everything went well",C,C,A,A,B,A,C,B,A,art,IT/ Software Developer
Arts,"Yes, everything went well",A,B,A,A,A,A,A,A,A,english,Teacher
Physical Science,"Yes, everything went well",A,A,A,A,B,B,C,C,A,maths,Designer
Physical Science,"Mostly, but I faced some challenges",A,B,A,A,B,A,A,A,B,maths,IT/ Software Developer
Commerce,"Yes, everything went well",B,C,C,B,C,C,C,C,C,ict,IT/ Software Developer
Physical Science,"Yes, everything went well",A,A,A,B,A,A,B,A,A,maths,IT/ Software Developer
Arts,"Yes, everything went well",C,C,B,B,B,C,A,A,C,music,Teacher
Physical Science,"Mostly, but I faced some challenges",A,A,A,B,A,A,A,A,A,maths,Other
Physical Science,"Yes, everything went well",A,B,A,A,A,A,A,B,A,maths,Engineer
Commerce,"Mostly, but I faced some challenges",C,B,C,C,B,B,C,C,B,commerce,Business Analysis/ Business Manager/ BIS
Bio Science,"Yes, everything went well",A,B,A,B,A,A,A,A,B,science,Businessman
Bio Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,science,Engineer
Bio Science,"Mostly, but I faced some challenges",A,A,A,B,A,A,A,A,C,science,Food Scientist
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,B,S,C,A,maths,Engineer
Bio Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,science,Medical Industry
Physical Science,"Yes, everything went well",A,A,A,A,A,A,A,B,A,maths,Other
Physical Science,"Yes, everything went well",B,B,A,A,A,A,C,A,A,french,Teacher
Arts,"Yes, everything went well",C,B,A,B,A,A,A,A,A,history,Teacher
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,B,B,maths,IT/ Software Developer
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,B,A,A,A,B,maths,Other
Physical Science,"Yes, everything went well",A,B,A,A,A,A,A,A,A,maths,IT/ Software Developer
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,B,A,science,Engineer
Commerce,"Yes, everything went well",A,C,B,A,B,A,A,A,A,commerce,Manager
Physical Science,"Mostly, but I faced some challenges",A,B,B,A,A,A,B,B,A,ict,IT/ Software Developer
Bio Science,"No, I had difficulties",A,A,A,A,A,A,A,A,A,science,IT/ Software Developer
Arts,"Mostly, but I faced some challenges",A,C,A,A,A,B,B,B,B,english,Aviation
Commerce,"Yes, everything went well",B,B,A,A,A,B,A,B,A,commerce,Teacher
Bio Science,"Yes, everything went well",B,A,A,B,A,B,A,B,C,science,Agriculture Industry
Commerce,"Mostly, but I faced some challenges",A,A,A,A,A,A,C,A,A,commerce,Teacher
Bio Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,science,Teacher
Physical Science,"Yes, everything went well",A,A,A,A,A,A,A,A,A,maths,Businessman
Bio Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,science,Businessman
Physical Science,"Yes, everything went well",A,B,A,S,B,B,A,B,B,maths,Other
Physical Science,"Yes, everything went well",A,A,A,A,A,A,A,A,A,maths,Other
Arts,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,maths,Other
Bio Science,"Yes, everything went well",A,A,A,A,A,A,A,A,A,science,Medical Industry
Physical Science,"Yes, everything went well",A,A,A,A,A,A,A,A,A,maths,Engineer
Physical Science,"Mostly, but I faced some challenges",A,B,B,A,B,A,A,A,A,maths,Engineer
Physical Science,"Mostly, but I faced some challenges",A,B,A,A,A,A,A,A,A,ict,IT/ Software Developer
Physical Science,"Mostly, but I faced some challenges",A,A,A,B,A,A,B,A,A,maths,Engineer
Bio Science,"Yes, everything went well",A,A,A,A,A,A,A,B,A,science,Lecturer/ Professor
Arts,"Yes, everything went well",A,A,A,A,A,A,A,A,A,geography,Other
Arts,"Mostly, but I faced some challenges",C,B,A,A,A,A,A,B,A,geography,Teacher
Physical Science,"Mostly, but I faced some challenges",A,A,A,C,A,B,A,A,B,maths,IT/ Software Developer
Physical Science,"Mostly, but I faced some challenges",A,B,A,B,A,A,A,A,A,maths,Lecturer/ Professor
Bio Science,"Yes, everything went well",A,A,A,A,A,A,A,B,A,science,Manager
Bio Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,science,Food Scientist
Arts,"Mostly, but I faced some challenges",C,C,A,A,B,A,A,A,B,french,IT/ Software Developer
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,science,IT/ Software Developer
Physical Science,"Yes, everything went well",A,A,A,A,A,B,A,B,B,maths,IT/ Software Developer
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,maths,IT/ Software Developer
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,science,IT/ Software Developer
